model_name,criterion,optimizer,learning_rate,num_epochs,input_size,hidden_layers,qtd_hidden_layers,activation_function,accuracy,average_loss
MLP,CrossEntropyLoss,Adam,0.01,300,16,[12],1,ReLU,0.9151670951156813,0.22706159949302673
MLP,CrossEntropyLoss,Adam,0.01,300,16,[14],1,ReLU,0.9192067572530297,0.21455998718738556
MLP,CrossEntropyLoss,Adam,0.01,300,16,[16],1,ReLU,0.9184722732280572,0.21844080090522766
MLP,CrossEntropyLoss,Adam,0.01,300,16,[18],1,ReLU,0.9166360631656262,0.21999656409025192
MLP,CrossEntropyLoss,Adam,0.01,300,16,[20],1,ReLU,0.914799853103195,0.2204037681221962
MLP,CrossEntropyLoss,Adam,0.1,300,16,[2],1,ReLU,0.689680499449137,0.7903387248516083
MLP,CrossEntropyLoss,Adam,0.1,300,16,[4],1,ReLU,0.9155343371281675,0.2317294478416443
MLP,CrossEntropyLoss,Adam,0.1,300,16,[6],1,ReLU,0.9206757253029747,0.22018487751483917
MLP,CrossEntropyLoss,Adam,0.1,300,16,[8],1,ReLU,0.9192067572530297,0.22646383196115494
MLP,CrossEntropyLoss,Adam,0.1,300,16,[10],1,ReLU,0.9144326110907087,0.22004715353250504
MLP,CrossEntropyLoss,Adam,0.1,300,16,[12],1,ReLU,0.9063532868160118,0.25104638934135437
MLP,CrossEntropyLoss,Adam,0.1,300,16,[14],1,ReLU,0.9125964010282777,0.25911687314510345
MLP,CrossEntropyLoss,Adam,0.1,300,16,[16],1,ReLU,0.9041498347410943,0.2542630508542061
MLP,CrossEntropyLoss,Adam,0.1,300,16,[18],1,ReLU,0.9217774513404333,0.2071656510233879
MLP,CrossEntropyLoss,Adam,0.1,300,16,[20],1,ReLU,0.9188395152405435,0.21152930706739426
MLP,CrossEntropyLoss,Adam,0.15,300,16,[2],1,ReLU,0.6951891296364304,0.7708343863487244
MLP,CrossEntropyLoss,Adam,0.15,300,16,[4],1,ReLU,0.906720528828498,0.2717282772064209
MLP,CrossEntropyLoss,Adam,0.15,300,16,[6],1,ReLU,0.9159015791406537,0.22779163718223572
MLP,CrossEntropyLoss,Adam,0.15,300,16,[8],1,ReLU,0.919573999265516,0.21590226888656616
MLP,CrossEntropyLoss,Adam,0.15,300,16,[10],1,ReLU,0.8986412045538009,0.2810870260000229
MLP,CrossEntropyLoss,Adam,0.15,300,16,[12],1,ReLU,0.9107601909658465,0.24369504302740097
MLP,CrossEntropyLoss,Adam,0.15,300,16,[14],1,ReLU,0.9048843187660668,0.26320357620716095
MLP,CrossEntropyLoss,Adam,0.15,300,16,[16],1,ReLU,0.9221446933529196,0.21820158511400223
MLP,CrossEntropyLoss,Adam,0.15,300,16,[18],1,ReLU,0.9125964010282777,0.23860596120357513
MLP,CrossEntropyLoss,Adam,0.15,300,16,[20],1,ReLU,0.9173705471905986,0.21351193636655807
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[2, 2]",2,ReLU,0.33492471538744034,1.7826980352401733
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[2, 4]",2,ReLU,0.32207124495042233,1.5722475051879883
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[2, 6]",2,ReLU,0.32794711715020197,1.5614811778068542
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[2, 8]",2,ReLU,0.4693352919573999,1.2649438381195068
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[2, 10]",2,ReLU,0.15607785530664708,1.833449900150299
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[2, 12]",2,ReLU,0.5229526257803893,1.1431482434272766
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[2, 14]",2,ReLU,0.5328681601175175,1.2097895741462708
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[2, 16]",2,ReLU,0.4741094381197209,1.3306059837341309
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[2, 18]",2,ReLU,0.5784061696658098,1.192404866218567
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[2, 20]",2,ReLU,0.6265148733015057,0.9335118532180786
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[4, 2]",2,ReLU,0.2185089974293059,1.9472122192382812
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[4, 4]",2,ReLU,0.5170767535806097,1.3438019156455994
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[4, 6]",2,ReLU,0.48586118251928023,1.2545507550239563
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[4, 8]",2,ReLU,0.5457216305545355,1.1710917353630066
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[4, 10]",2,ReLU,0.5236871098053617,1.0952860713005066
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[4, 12]",2,ReLU,0.26037458685273596,1.7532730102539062
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[4, 14]",2,ReLU,0.7043701799485861,1.0417662858963013
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[4, 16]",2,ReLU,0.5662871832537643,1.1176011562347412
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[4, 18]",2,ReLU,0.6775615130370914,1.0382124185562134
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[4, 20]",2,ReLU,0.6478149100257069,0.9412033259868622
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[6, 2]",2,ReLU,0.33161953727506427,1.7288845777511597
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[6, 4]",2,ReLU,0.46970253396988615,1.2952704429626465
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[6, 6]",2,ReLU,0.12339331619537275,1.8287109732627869
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[6, 8]",2,ReLU,0.26037458685273596,1.8406411409378052
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[6, 10]",2,ReLU,0.4847594564818215,1.3857998251914978
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[6, 12]",2,ReLU,0.7917737789203085,0.9721038937568665
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[6, 14]",2,ReLU,0.4561145795078957,1.2378459572792053
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[6, 16]",2,ReLU,0.6118251928020566,0.9463975131511688
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[6, 18]",2,ReLU,0.6037458685273596,1.0308781862258911
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[6, 20]",2,ReLU,0.8174807197943444,0.7458235919475555
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[8, 2]",2,ReLU,0.390745501285347,1.3895400166511536
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[8, 4]",2,ReLU,0.45538009548292324,1.2590386867523193
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[8, 6]",2,ReLU,0.40029379360998896,1.3832700848579407
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[8, 8]",2,ReLU,0.6063165626147631,1.0473721027374268
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[8, 10]",2,ReLU,0.7113477781858245,0.9572915732860565
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[8, 12]",2,ReLU,0.5519647447668014,1.1321825981140137
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[8, 14]",2,ReLU,0.7954461990451708,0.7119247615337372
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[8, 16]",2,ReLU,0.26037458685273596,1.7014935612678528
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[8, 18]",2,ReLU,0.28351083363936835,1.6552444100379944
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[8, 20]",2,ReLU,0.8703635695923614,0.5406701266765594
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[10, 2]",2,ReLU,0.5097319133308851,1.38894784450531
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[10, 4]",2,ReLU,0.5093646713183988,1.1845954656600952
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[10, 6]",2,ReLU,0.6386338597135512,1.088972806930542
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[10, 8]",2,ReLU,0.27286081527726774,1.7722988724708557
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[10, 10]",2,ReLU,0.7451340433345575,0.9134580194950104
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[10, 12]",2,ReLU,0.8446566287183254,0.6906236112117767
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[10, 14]",2,ReLU,0.8578773411678297,0.6059786677360535
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[10, 16]",2,ReLU,0.6048475945648182,1.0005412101745605
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[10, 18]",2,ReLU,0.8138082996694822,0.8156372308731079
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[10, 20]",2,ReLU,0.7645978699963276,0.7686543464660645
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[12, 2]",2,ReLU,0.38597135512302605,1.4180187582969666
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[12, 4]",2,ReLU,0.5438854204921043,1.4168770909309387
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[12, 6]",2,ReLU,0.5361733382298935,1.1411656141281128
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[12, 8]",2,ReLU,0.697759823723834,0.9174675643444061
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[12, 10]",2,ReLU,0.7899375688578774,0.7798272669315338
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[12, 12]",2,ReLU,0.7212633125229526,0.8660543262958527
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[12, 14]",2,ReLU,0.8641204553800955,0.5838629007339478
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[12, 16]",2,ReLU,0.5178112376055821,1.2904458045959473
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[12, 18]",2,ReLU,0.8575100991553434,0.5744719505310059
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[12, 20]",2,ReLU,0.8699963275798751,0.5496339499950409
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[14, 2]",2,ReLU,0.4583180315828131,1.7342112064361572
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[14, 4]",2,ReLU,0.6066838046272494,1.0432931780815125
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[14, 6]",2,ReLU,0.3165626147631289,1.3990184664726257
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[14, 8]",2,ReLU,0.78773411678296,0.8722807466983795
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[14, 10]",2,ReLU,0.38964377524788835,1.4621004462242126
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[14, 12]",2,ReLU,0.19316929856775616,1.867007315158844
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[14, 14]",2,ReLU,0.8340066103562247,0.647062361240387
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[14, 16]",2,ReLU,0.8196841718692618,0.7782565951347351
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[14, 18]",2,ReLU,0.8707308116048476,0.5573455989360809
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[14, 20]",2,ReLU,0.8747704737421961,0.4913516640663147
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[16, 2]",2,ReLU,0.32096951891296366,1.7386083602905273
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[16, 4]",2,ReLU,0.5622475211164157,1.1221345663070679
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[16, 6]",2,ReLU,0.7965479250826295,0.7648329436779022
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[16, 8]",2,ReLU,0.8310686742563349,0.6543711125850677
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[16, 10]",2,ReLU,0.8508997429305912,0.6093784272670746
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[16, 12]",2,ReLU,0.8718325376423063,0.5047226846218109
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[16, 14]",2,ReLU,0.8791773778920309,0.47658267617225647
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[16, 16]",2,ReLU,0.8784428938670584,0.48259881138801575
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[16, 18]",2,ReLU,0.8751377157546824,0.4833862781524658
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[16, 20]",2,ReLU,0.8486962908556739,0.5574926733970642
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[18, 2]",2,ReLU,0.5042232831435917,1.3908673524856567
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[18, 4]",2,ReLU,0.41278002203452074,1.1539143323898315
MLP,CrossEntropyLoss,Adam,0.001,50,16,"[18, 6]",2,ReLU,0.5526992287917738,1.0864999890327454
